CPU_Usage,Memory_Usage,Keystrokes,Network_Activity,Keylogger
31.7,51.7,30,0.8943451194446727,0
39.6,51.7,46,0.166749420706088,0
35.5,51.9,32,0.6823878586828407,1
43.1,51.5,4,0.28739079309614735,0
39.9,51.6,39,0.49310119042098355,0
19.9,51.9,18,0.4201936112571415,0
29.7,51.8,38,0.22484798850489074,0
16.0,51.8,1,0.8385361370196742,0
29.6,51.6,11,0.09552595187035273,0
25.7,51.4,22,0.05624654960047071,0
27.1,51.5,12,0.39383564742475663,0
27.5,51.7,1,0.5470552642418539,0
34.7,51.6,39,0.8325610033288625,1
40.7,51.6,13,0.934274624581208,0
32.6,51.5,5,0.6314898461889834,0
34.0,51.6,2,0.26507165492391926,0
38.9,51.5,47,0.8518495989902239,1
33.0,51.7,15,0.7942623682922993,0
36.8,50.5,24,0.5481294063899129,0
33.3,50.8,31,0.883177598578223,1
43.8,50.7,8,0.058650376435509965,0
41.0,50.9,38,0.3958985195131539,0
42.9,51.2,17,0.6002881185622292,0
40.3,51.4,27,0.2636384273658595,0
36.5,51.4,40,0.6624094061111182,1
50.2,51.4,47,0.5330832607379359,0
49.4,51.9,24,0.6899699613635011,0
43.4,52.5,6,0.07529951517864142,0
39.4,52.4,16,0.04295458663964147,0
58.0,52.7,28,0.305908603965538,0
50.5,52.7,49,0.44827731591472997,0
56.2,52.6,1,0.2581343998527659,0
50.6,52.6,19,0.01674530547589237,0
26.4,52.4,11,0.45113303539847693,0
23.7,52.7,16,0.5671536291605178,0
31.4,52.8,39,0.7174521133178472,1
25.3,52.6,6,0.5272654504957567,0
20.7,52.8,30,0.8468077596245112,0
35.9,52.5,11,0.7949495440754131,0
38.3,52.5,12,0.5462530368710445,0
21.8,52.6,0,0.9177300825123342,0
37.7,53.1,24,0.8307950706615509,0
36.7,53.0,31,0.9561821104638276,1
33.7,52.9,13,0.8283832301310278,0
27.7,53.0,35,0.8249817006556138,1
36.2,53.0,8,0.36216348368937157,0
29.4,53.0,18,0.6245100804954719,0
32.6,52.9,36,0.4617820574288636,0
30.3,53.0,26,0.8908603907168137,0
33.7,53.0,47,0.17123672141777124,0
32.0,52.9,15,0.297054881735606,0
37.5,52.9,10,0.696306458082431,0
31.1,53.0,47,0.6158373228497213,1
41.4,53.1,39,0.763909050792168,1
30.4,53.5,9,0.9714154795108944,0
36.9,53.5,29,0.26265936328435124,0
18.0,53.3,32,0.9510931593455831,1
35.4,53.1,43,0.3619851852222161,0
35.7,53.1,29,0.937633030029429,0
52.4,53.2,48,0.167489557328372,0
32.8,53.3,46,0.3786276689428534,0
26.5,53.3,24,0.4943209309195361,0
12.9,53.4,40,0.9208578888271042,1
15.0,53.7,24,0.7243092628813911,0
22.8,53.0,50,0.12120284324511821,0
34.6,53.2,34,0.8703628551181308,1
38.5,53.1,8,0.06752452897155636,0
28.6,53.1,9,0.5483313599148335,0
33.7,53.1,3,0.22092818216598453,0
36.7,53.1,1,0.5820270675284345,0
43.5,53.2,18,0.9849400921431647,0
33.6,53.0,49,0.2356889011362977,0
33.2,53.1,9,0.1536653226680761,0
35.3,53.1,0,0.5585824907468386,0
38.6,53.1,22,0.6107724215917346,0
36.1,53.1,12,0.9514559010327802,0
32.3,53.1,28,0.041031688159664514,0
41.4,53.4,50,0.14676399455696587,0
31.0,53.4,9,0.9567603084596842,0
27.7,53.4,22,0.6738363757672704,0
33.1,53.3,5,0.9417434332889333,0
43.7,53.3,9,0.5479680156399602,0
36.1,53.2,30,0.08696561114354273,0
34.3,53.1,2,0.813608719844567,0
34.8,53.1,31,0.14429865834681044,0
41.1,53.0,25,0.1849658344611319,0
22.7,53.0,8,0.21821209467690594,0
30.9,53.2,21,0.9216668429081531,0
33.7,53.1,1,0.6656310240026259,0
38.7,52.9,23,0.5081021963226742,0
38.5,52.9,16,0.16228909613822917,0
32.8,52.7,22,0.9676571363445339,0
16.8,53.1,8,0.2973638874525,0
31.2,52.8,41,0.89143676378932,1
32.6,52.9,33,0.5791600832814252,0
33.5,52.8,14,0.8292827559443694,0
35.5,52.9,32,0.7355511722528073,1
35.9,52.8,37,0.5076451820516421,0
39.3,52.7,41,0.3405859072810652,0
35.6,52.8,44,0.11055046755336806,0
21.8,52.9,15,0.5761293842399772,0
39.0,52.6,0,0.002053292378908056,0
38.4,52.6,15,0.014376824095148066,0
42.0,52.7,27,0.6453173714341349,0
40.3,52.7,32,0.38667022215562774,0
36.7,52.7,47,0.3877710465269888,0
37.7,52.7,0,0.9907943297507947,0
32.2,52.7,18,0.9954398582929476,0
33.5,52.7,41,0.39928772034629745,0
41.5,52.7,18,0.19749260753809827,0
30.9,52.7,19,0.14730017119718353,0
37.9,52.9,18,0.8253071259132915,0
35.6,52.7,28,0.2529837433592539,0
31.2,52.8,27,0.35133341933932327,0
35.7,52.7,5,0.9652051749916779,0
36.4,52.7,0,0.49858447599601097,0
30.0,52.7,6,0.20184607358521367,0
36.1,52.7,5,0.4931622179128774,0
35.2,52.8,0,0.7862100994099254,0
37.1,52.8,21,0.7057243487279632,0
35.3,52.7,33,0.665831452339329,1
32.0,53.0,13,0.6044529111955519,0
34.5,52.8,39,0.2514808710347257,0
44.3,52.9,16,0.06823131658278381,0
35.4,53.0,47,0.6084616492136109,1
43.1,52.9,8,0.5616357393039935,0
29.9,52.9,1,0.5835925905424921,0
37.9,52.9,22,0.012094310337759095,0
44.1,52.9,9,0.0006532562530728869,0
37.5,52.9,26,0.4143832043934682,0
34.1,53.0,48,0.9912161737084758,1
32.2,53.0,50,0.8560733840622913,1
36.7,53.0,42,0.4590271754349684,0
34.7,53.0,12,0.0400113151367425,0
38.1,53.0,2,0.5419276665306055,0
34.9,53.0,29,0.38320053688638345,0
32.0,53.0,42,0.4618256378522496,0
30.9,53.3,37,0.09666481413780825,0
32.2,53.2,7,0.06965006022829334,0
28.5,53.2,28,0.6299508684717593,0
35.9,53.3,24,0.22314070346698844,0
36.6,53.2,33,0.9622292335233009,1
35.7,53.1,26,0.4666239053383757,0
33.3,53.0,35,0.23909300899381702,0
31.4,53.1,30,0.007840386727679172,0
37.5,53.0,12,0.501144419737007,0
30.8,53.2,17,0.6274737486086056,0
34.6,53.1,17,0.3204883956546609,0
35.7,53.1,14,0.7476461553404329,0
39.8,52.9,1,0.03616929243167566,0
41.1,52.9,40,0.4028456991428684,0
36.8,52.9,41,0.46693153882617133,0
27.6,53.1,49,0.433020797865447,0
34.8,52.9,39,0.1572879215042342,0
17.0,53.3,37,0.4369587028351368,0
36.9,53.0,20,0.09257777360925534,0
34.0,53.1,29,0.9378679061098294,0
26.6,53.1,8,0.16143468604616484,0
31.8,53.2,37,0.24392266709085886,0
32.6,53.0,37,0.1761015453204724,0
38.5,53.1,20,0.05389320380056717,0
30.1,53.0,15,0.4715218987359512,0
32.9,53.1,42,0.8814415091641392,1
38.0,53.2,35,0.5841380139283929,0
37.3,53.2,28,0.8968400469123488,0
29.0,53.3,14,0.9630576865156617,0
26.7,53.5,48,0.06554212783255975,0
46.5,53.5,10,0.006323388403125851,0
38.8,53.5,18,0.4997798233228725,0
39.2,53.3,47,0.5302974351722012,0
34.5,53.6,40,0.5757275611964231,0
39.1,53.3,7,0.6273091720721281,0
36.0,53.5,38,0.46907969376589087,0
40.3,53.4,38,0.4940990402342641,0
35.2,53.5,22,0.2337343973186632,0
33.1,53.5,24,0.030156111167310207,0
39.5,53.6,3,0.6108900562747516,0
42.9,53.5,6,0.9360992618904215,0
41.0,53.5,16,0.07215267232530531,0
34.9,53.5,24,0.23616365497146952,0
45.3,53.5,20,0.7051221137953034,0
33.7,53.5,7,0.31657808852654734,0
35.3,53.5,29,0.5786716859144967,0
25.2,53.6,25,0.591595263360583,0
27.2,53.7,14,0.7217543218955684,0
35.2,53.6,3,0.10478645605850678,0
18.7,53.7,22,0.39265155397691553,0
25.7,53.7,28,0.7143142934791359,0
40.2,53.8,3,0.7097393908545748,0
30.3,53.8,31,0.5440241368394567,0
27.7,53.8,1,6.027328998081671e-05,0
48.5,53.8,15,0.2862989866581742,0
35.9,53.8,48,0.09237861914320311,0
33.5,53.8,14,0.9917033819754604,0
36.4,53.8,46,0.066491552520213,0
38.9,53.6,12,0.9437659873161999,0
38.9,53.7,20,0.05080024758068191,0
29.2,53.8,36,0.5133624887042486,0
20.1,54.1,1,0.7720551265814763,0
35.4,54.0,43,0.48096617330500835,0
32.0,53.9,32,0.23451180312956743,0
34.8,53.9,0,0.04925658684098899,0
33.3,53.9,17,0.627212787384736,0
35.0,54.0,45,0.09043258893786366,0
31.8,53.9,38,0.843023274745321,1
37.0,53.9,47,0.9675636387213694,1
35.9,54.0,43,0.25227342197044944,0
32.0,53.9,45,0.4895196319781404,0
38.6,53.8,18,0.8635445270984555,0
36.5,53.9,23,0.44773974815285833,0
35.2,53.9,35,0.38438109424760547,0
33.9,54.0,15,0.920304713307702,0
40.7,53.8,10,0.4472451565137232,0
36.3,53.9,42,0.9879975915895548,1
27.1,54.0,5,0.8874282706121719,0
24.1,54.3,6,0.9181719698336658,0
35.3,53.9,27,0.15411626220414265,0
37.4,54.0,24,0.25845867062205696,0
37.6,54.0,49,0.5767284145888626,0
45.9,53.9,19,0.2947799914948098,0
36.0,53.8,49,0.25777230143852015,0
38.9,53.9,19,0.037797899033378934,0
37.6,53.8,13,0.433651746486201,0
39.5,54.0,31,0.7812973445104489,1
43.1,53.8,5,0.46507807034559123,0
29.9,53.9,49,0.853700404320048,1
25.1,53.7,6,0.02973294789600356,0
33.0,53.7,6,0.9603862495958921,0
41.0,53.7,35,0.7872387189335434,1
34.8,53.7,46,0.42390920374054086,0
35.0,53.7,20,0.36753071774115587,0
34.4,53.8,44,0.14075675164589008,0
36.9,53.7,32,0.1886941984199253,0
38.0,53.7,16,0.19593671350223307,0
33.3,53.7,41,0.9030391876740935,1
39.1,53.7,25,0.9639389700967432,0
36.7,53.7,3,0.8469347184367002,0
28.4,53.7,47,0.7178029887242717,1
30.6,53.5,0,0.7079155355609429,0
16.2,53.8,40,0.02385715171648506,0
32.2,53.7,7,0.3696469141783446,0
31.5,53.6,5,0.9741193401822987,0
33.3,53.6,46,0.25471596053670365,0
17.8,53.8,17,0.9771228616630933,0
33.0,53.8,40,0.5747369450095029,0
32.3,53.5,45,0.5149287309137319,0
31.6,53.6,23,0.9862434726612166,0
32.9,53.6,11,0.11642374636207131,0
30.7,53.7,18,0.6062945871497349,0
27.3,53.8,30,0.058670232106061704,0
36.2,53.7,34,0.4076155590576642,0
31.8,53.7,23,0.21030916544288925,0
30.6,53.7,5,0.8291101277163545,0
27.3,53.7,26,0.04233864411453392,0
15.9,54.0,43,0.5654254102557307,0
34.0,53.5,0,0.778721615266247,0
33.3,53.7,26,0.5896506804308291,0
34.4,53.5,2,0.2684274670373189,0
29.9,53.7,41,0.5669378525215107,0
26.4,53.6,42,0.6293498000155018,1
31.4,53.6,47,0.35797688322846066,0
39.1,53.5,12,0.284833759675889,0
27.7,53.5,40,0.9549557180084909,1
26.7,53.5,3,0.24654874343512434,0
31.2,53.7,14,0.9914493134496394,0
26.0,53.5,3,0.41596489543695125,0
30.1,53.6,43,0.6036908017555397,1
29.0,53.6,10,0.2346756636886297,0
30.6,53.6,21,0.9809518280635672,0
33.5,53.6,7,0.8491270155796307,0
30.9,53.6,40,0.5147242990272599,0
32.7,53.5,10,0.7933822920731297,0
35.1,53.6,27,0.09434020241967578,0
36.0,53.5,5,0.020153640137565043,0
33.2,53.6,28,0.1917258828078422,0
35.9,53.6,35,0.8435331720066434,1
31.9,53.6,39,0.018661265360822354,0
31.1,53.6,33,0.9231857479196784,1
29.2,53.6,13,0.21053372013137817,0
33.8,53.6,2,0.3257443768136793,0
37.7,53.6,3,0.20740149073306502,0
31.6,53.5,10,0.19981731302182038,0
24.9,53.6,42,0.8569118024070672,1
14.5,54.0,48,0.7907778012612113,1
32.2,53.5,34,0.37626567193610105,0
33.1,53.6,0,0.11620211280469239,0
32.7,53.4,23,0.4337036711642469,0
21.3,53.7,42,0.009461090600186517,0
25.2,53.5,1,0.45720731343742294,0
17.7,53.7,33,0.3785825780848868,0
34.8,53.6,37,0.22089321469146928,0
23.2,53.6,33,0.1318711070000279,0
35.5,53.6,0,0.28507375816308844,0
32.9,53.5,47,0.02083095378212385,0
30.9,53.6,17,0.17019161429917762,0
16.5,53.7,12,0.2590112861639967,0
24.6,53.5,36,0.07467957812673531,0
35.9,53.6,35,0.17239314369496073,0
37.2,53.5,43,0.07837055067519261,0
23.8,53.6,8,0.07019383582656624,0
34.1,53.5,33,0.41273126702331964,0
34.2,53.6,36,0.5371388021807678,0
32.8,53.6,20,0.7842905729308554,0
39.0,53.6,9,0.0396718537974029,0
35.2,53.5,29,0.6707074552085239,0
31.1,53.6,28,0.8518349324606794,0
34.2,53.6,5,0.17841104678650233,0
33.6,53.5,12,0.18364812079429005,0
35.5,53.5,2,0.5936511235361477,0
32.2,53.5,16,0.8228076006552797,0
31.0,53.5,2,0.5559578387232593,0
29.6,53.5,50,0.7647365489983378,1
33.1,53.5,4,0.8267704300424006,0
20.8,53.7,41,0.9317044494541559,1
24.4,53.7,47,0.7938987264513628,1
32.4,53.4,17,0.1506635823617113,0
33.1,53.5,20,0.7169997788469527,0
30.8,53.5,19,0.15627316997148277,0
30.9,53.5,41,0.9670489838690599,1
25.2,53.6,5,0.44317363446063585,0
33.5,53.6,35,0.8270458393002231,1
35.2,53.7,30,0.0412309803555001,0
29.4,53.6,39,0.752957414801481,1
31.6,53.5,30,0.6409201095653946,0
39.1,53.5,14,0.3809126397869089,0
35.5,53.4,9,0.7678479753451802,0
30.0,53.6,24,0.6997732741766431,0
28.0,53.4,28,0.48486641080869797,0
35.2,53.5,10,0.8959935867309031,0
32.2,53.5,48,0.4326841017247325,0
22.4,53.6,43,0.8031660529411146,1
32.6,53.7,11,0.10031868176071157,0
29.9,53.7,40,0.4088391951192848,0
28.4,53.6,41,0.817468275453793,1
15.2,53.7,0,0.1896529170528749,0
33.6,53.7,12,0.05420989463418657,0
24.6,53.7,25,0.23808793173921627,0
29.3,53.7,32,0.7486522936665138,1
29.1,53.6,34,0.16652843302850662,0
21.7,53.6,20,0.9541327691385116,0
25.5,53.6,36,0.49523930081374656,0
33.3,53.6,43,0.9621523446115038,1
30.0,53.6,21,0.31436193018897685,0
26.7,53.7,43,0.2526987429559151,0
26.7,53.7,49,0.7268808090023383,1
28.4,53.7,31,0.6792507790979414,1
34.5,53.6,11,0.13091590273093412,0
34.0,53.7,4,0.8174417426010689,0
37.6,53.6,22,0.5087184246315772,0
33.8,53.5,25,0.13681908853595348,0
34.5,53.6,19,0.014809356240099492,0
29.1,53.6,48,0.8401917628737727,1
31.4,53.4,49,0.5616855466147196,0
33.1,53.5,24,0.34819100859710483,0
42.7,53.4,8,0.9695420029205587,0
32.1,53.6,8,0.9730190202656587,0
34.2,53.5,21,0.5081991519471839,0
29.5,53.6,9,0.25750413607366196,0
33.4,53.5,5,0.34218774368299876,0
31.9,53.6,33,0.8907287372254317,1
33.5,53.6,48,0.5195631241397878,0
28.3,53.6,10,0.4691751591826505,0
42.1,53.7,47,0.5968364729219476,0
38.8,53.8,16,0.43923074584028154,0
42.6,53.7,38,0.046986317724640125,0
24.5,53.8,45,0.9592695676533498,1
38.5,53.8,12,0.30055565593960676,0
28.9,53.9,22,0.9132126093560027,0
28.7,53.8,44,0.312590347474475,0
20.9,53.9,3,0.9754231096584316,0
35.9,53.8,20,0.09718651456431404,0
37.0,53.8,34,0.12196560187189198,0
36.7,54.0,14,0.6191659288030076,0
25.5,53.9,12,0.9996649788593454,0
29.0,54.1,33,0.04694914333590017,0
25.5,53.8,5,0.4193890945495845,0
22.5,54.2,12,0.32475867104022904,0
28.9,53.8,41,0.8187810819564162,1
37.4,53.9,29,0.23507964717027519,0
42.6,54.0,42,0.9814434645579112,1
33.3,53.9,27,0.09720342755518907,0
32.1,53.9,26,0.22618931639286877,0
33.5,54.0,16,0.17600946961487374,0
32.7,54.0,43,0.7775454399141928,1
28.2,54.0,39,0.6853613134741087,1
33.1,54.0,20,0.2518599536975241,0
30.7,54.2,5,0.3798557219006369,0
34.4,54.0,45,0.8627241967885134,1
35.9,53.9,11,0.9182216955085419,0
33.1,54.0,33,0.3912666598299953,0
17.1,54.1,15,0.42313455659403465,0
16.4,54.5,35,0.5088292883671669,0
24.8,54.3,21,0.3435904559061528,0
32.6,54.0,1,0.6638625398679047,0
34.7,53.9,48,0.032719540189473095,0
42.9,53.2,0,0.32315632896611013,0
47.4,52.8,50,0.7783555968055382,1
45.5,52.1,32,0.2139308348987291,0
42.1,51.7,19,0.4514103480189704,0
35.8,51.4,30,0.9811509615327048,0
42.1,50.8,36,0.8156132384638126,1
49.4,50.4,10,0.774321325718578,0
35.4,50.3,49,0.020154096438633085,0
29.3,50.4,12,0.7139747913783243,0
26.7,50.4,23,0.04637959920529455,0
17.5,50.5,1,0.7212292099818376,0
18.3,50.7,26,0.3899497581809527,0
13.4,50.8,7,0.036934987756910065,0
25.7,50.5,40,0.705068291732041,1
37.5,50.4,15,0.7921383361606978,0
25.3,50.5,3,0.5248964470104261,0
34.0,50.6,27,0.7186696716267885,0
23.9,50.6,46,0.3595694915931523,0
43.9,50.2,32,0.20910009558674747,0
28.9,50.4,26,0.21942873218673187,0
42.9,50.3,35,0.3339018505287009,0
48.5,50.3,42,0.2598984929313163,0
39.1,50.3,23,0.43277081779590443,0
24.3,50.6,34,0.7006613645626549,1
29.8,50.3,37,0.754534101845822,1
38.4,50.4,14,0.377874092930777,0
